time,station,part,family,type,activity
275429383,Oven,PZ_1010_5900,PZ,PZ_1010,ENTER
275431042,Oven,PZ_1010_5894,PZ,PZ_1010,EXIT
275441801,BoxStation,PACK_1010_001821,PACK,PACK_1010,ENTER
275449225,RefurbishedBoxWarehouse,BOX_000172,BOX,BOX,ENTER
275449399,PackStation,PZ_1010_5843,PZ,PZ_1010,ENTER
275449891,PizzaSource,PZ_1010_5908,PZ,PZ_1010,EXIT
275449891,PizzaSource,PZ_1010_5909,PZ,PZ_1010,ENTER
275458945,Freezer,PZ_1010_5849,PZ,PZ_1010,EXIT
275465974,Freezer,PZ_1010_5891,PZ,PZ_1010,ENTER
275469359,Oven,PZ_1010_5901,PZ,PZ_1010,ENTER
275470908,Oven,PZ_1010_5895,PZ,PZ_1010,EXIT
275489416,PackStation,PZ_1010_5844,PZ,PZ_1010,ENTER
275489677,PizzaSource,PZ_1010_5909,PZ,PZ_1010,EXIT
275489677,PizzaSource,PZ_1010_5910,PZ,PZ_1010,ENTER
275498702,Freezer,PZ_1010_5850,PZ,PZ_1010,EXIT
275506118,Freezer,PZ_1010_5892,PZ,PZ_1010,ENTER
275509444,Oven,PZ_1010_5902,PZ,PZ_1010,ENTER
275511019,Oven,PZ_1010_5896,PZ,PZ_1010,EXIT
275529300,PackStation,PZ_1010_5845,PZ,PZ_1010,ENTER
275529555,PizzaSource,PZ_1010_5910,PZ,PZ_1010,EXIT
275529555,PizzaSource,PZ_1010_5911,PZ,PZ_1010,ENTER
275538691,Freezer,PZ_1010_5851,PZ,PZ_1010,EXIT
275546022,Freezer,PZ_1010_5893,PZ,PZ_1010,ENTER
275549513,Oven,PZ_1010_5903,PZ,PZ_1010,ENTER
275550989,Oven,PZ_1010_5897,PZ,PZ_1010,EXIT
275563882,PackStation,PACK_1010_001822,PACK,PACK_1010,EXIT_AP
275569381,PackStation,PZ_1010_5846,PZ,PZ_1010,ENTER
275569757,PizzaSource,PZ_1010_5911,PZ,PZ_1010,EXIT
275569757,PizzaSource,PZ_1010_5912,PZ,PZ_1010,ENTER
275578910,Freezer,PZ_1010_5852,PZ,PZ_1010,EXIT
275586081,Freezer,PZ_1010_5894,PZ,PZ_1010,ENTER
275589442,Oven,PZ_1010_5904,PZ,PZ_1010,ENTER
275590980,Oven,PZ_1010_5898,PZ,PZ_1010,EXIT
275603082,BoxStation,PACK_1010_001822,PACK,PACK_1010,ENTER
275606102,RefurbishedBoxWarehouse,BOX_000173,BOX,BOX,EXIT
275606102,BoxStation,BOX_000173,BOX,BOX,ENTER
275609266,PackStation,PZ_1010_5847,PZ,PZ_1010,ENTER
275609465,PizzaSource,PZ_1010_5912,PZ,PZ_1010,EXIT
275609465,PizzaSource,PZ_1010_5913,PZ,PZ_1010,ENTER
275618771,Freezer,PZ_1010_5853,PZ,PZ_1010,EXIT
275619550,BoxStation,BOX_000173,BOX,BOX_1010,EXIT_AP
275625947,Freezer,PZ_1010_5895,PZ,PZ_1010,ENTER
275629450,Oven,PZ_1010_5905,PZ,PZ_1010,ENTER
275631148,Oven,PZ_1010_5899,PZ,PZ_1010,EXIT
275635526,PalletStation,BOX_000173,BOX,BOX_1010,ENTER
275649414,PackStation,PZ_1010_5848,PZ,PZ_1010,ENTER
275649620,PizzaSource,PZ_1010_5913,PZ,PZ_1010,EXIT
275649620,PizzaSource,PZ_1010_5914,PZ,PZ_1010,ENTER
275653426,PalletSource,PAL_000053,PAL,PAL,EXIT
275653426,PalletSource,PAL_000054,PAL,PAL,ENTER
275658562,Freezer,PZ_1010_5854,PZ,PZ_1010,EXIT
275659551,PalletStation,PAL_000052,PAL,PAL_1010,EXIT_AP
275666058,Freezer,PZ_1010_5896,PZ,PZ_1010,ENTER
275669312,Oven,PZ_1010_5906,PZ,PZ_1010,ENTER
275671036,Oven,PZ_1010_5900,PZ,PZ_1010,EXIT
275687972,PalletStation,PAL_000053,PAL,PAL,ENTER
275689545,PackStation,PZ_1010_5849,PZ,PZ_1010,ENTER
275689751,PizzaSource,PZ_1010_5914,PZ,PZ_1010,EXIT
275689751,PizzaSource,PZ_1010_5915,PZ,PZ_1010,ENTER
275698826,Freezer,PZ_1010_5855,PZ,PZ_1010,EXIT
275700660,Warehouse,PAL_000052,PAL,PAL_1010,ENTER
275706028,Freezer,PZ_1010_5897,PZ,PZ_1010,ENTER
275709362,Oven,PZ_1010_5907,PZ,PZ_1010,ENTER
275711011,Oven,PZ_1010_5901,PZ,PZ_1010,EXIT
275722220,PackStation,PACK_1010_001823,PACK,PACK_1010,EXIT_AP
275729302,PackStation,PZ_1010_5850,PZ,PZ_1010,ENTER
275729514,PizzaSource,PZ_1010_5915,PZ,PZ_1010,EXIT
275729514,PizzaSource,PZ_1010_5916,PZ,PZ_1010,ENTER
275738977,Freezer,PZ_1010_5856,PZ,PZ_1010,EXIT
